handicapped-infants	water-project-cost-sharin	adoption-of-the-budget-re	physician-fee-freeze	el-salvador-aid	religious-groups-in-schoo	anti-satellite-test-ban	aid-to-nicaraguan-contras	mx-missile	immigration	synfuels-corporation-cutb	education-spending	superfund-right-to-sue	crime	duty-free-exports	export-administration-act	noise_handicapped-infants	noise_water-project-cost-sharin	noise_adoption-of-the-budget-re	noise_physician-fee-freeze	noise_el-salvador-aid	noise_religious-groups-in-schoo	noise_anti-satellite-test-ban	noise_aid-to-nicaraguan-contras	noise_mx-missile	noise_immigration	noise_synfuels-corporation-cutb	noise_education-spending	noise_superfund-right-to-sue	noise_crime	noise_duty-free-exports	noise_export-administration-act	corr_handicapped-infants	corr_water-project-cost-sharin	corr_adoption-of-the-budget-re	corr_physician-fee-freeze	corr_el-salvador-aid	corr_religious-groups-in-schoo	corr_anti-satellite-test-ban	corr_aid-to-nicaraguan-contras	corr_mx-missile	corr_immigration	corr_synfuels-corporation-cutb	corr_education-spending	corr_superfund-right-to-sue	corr_crime	corr_duty-free-exports	corr_export-administration-act	group
n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n	y	other	y	n	y	n	n	n	n	n	y	y	other	y	n	n	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n	republican
y	other	n	y	y	y	n	n	n	y	n	y	other	y	n	y	y	y	y	n	n	n	y	n	n	n	n	y	y	y	n	y	y	other	n	y	y	y	n	n	n	y	n	y	other	y	n	y	republican
y	y	n	y	y	y	n	n	n	n	n	n	y	y	n	y	n	y	n	n	n	n	y	y	n	y	y	y	n	y	y	y	y	y	n	y	y	y	n	n	n	n	n	n	y	y	n	y	republican
n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n	n	n	y	y	n	y	y	y	n	y	n	other	n	n	y	y	y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n	republican
y	n	y	n	n	n	y	y	y	y	y	n	y	n	y	y	n	n	y	n	y	y	n	y	y	y	y	y	n	y	y	y	y	n	y	n	n	n	n	y	y	y	y	n	y	n	y	y	democrat
y	y	y	n	n	n	y	y	y	n	other	n	n	n	n	other	n	n	n	n	n	y	y	y	y	n	n	n	y	n	y	y	y	y	y	n	n	n	y	y	y	n	other	n	n	n	n	other	democrat
y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	other	n	y	y	n	n	y	y	n	n	y	y	y	other	y	n	y	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	other	democrat
y	n	y	n	n	n	y	y	y	n	n	n	n	n	n	y	other	n	n	n	n	n	n	y	n	y	n	n	y	y	n	y	y	n	y	n	n	n	y	y	y	n	n	n	n	n	n	y	democrat
y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y	y	y	n	y	n	n	n	y	n	y	n	n	y	y	y	y	y	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y	democrat
y	y	y	n	n	n	y	y	y	n	y	n	n	n	n	other	y	y	y	y	y	n	y	other	n	n	n	n	n	n	y	y	y	y	y	n	n	n	y	y	y	n	y	n	n	n	n	other	democrat
y	y	y	n	n	n	y	y	other	n	y	n	n	n	y	other	n	n	y	y	y	y	y	n	y	n	n	n	y	y	y	y	y	y	y	n	n	n	y	y	other	n	y	n	n	n	y	other	democrat
y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y	n	y	other	n	y	n	n	y	n	y	y	n	y	y	n	y	y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y	democrat
y	n	y	n	n	n	y	y	other	n	n	n	n	n	n	other	y	other	n	n	n	y	y	y	y	n	n	n	y	y	y	y	y	n	y	n	n	n	y	y	other	n	n	n	n	n	n	other	democrat
y	y	y	n	n	n	y	y	n	n	n	n	n	y	n	y	y	n	n	n	y	y	n	n	n	n	y	other	y	y	n	y	y	y	y	n	n	n	y	y	n	n	n	n	n	y	n	y	democrat
n	other	n	y	y	y	n	n	n	n	n	y	y	y	n	n	n	n	y	y	n	n	n	n	n	y	other	n	y	y	y	y	n	other	n	y	y	y	n	n	n	n	n	y	y	y	n	n	republican
y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	y	n	n	n	y	other	y	y	y	other	y	y	y	n	n	y	y	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y	democrat
n	y	n	y	y	y	n	other	n	n	n	y	y	y	n	y	n	other	y	y	other	n	n	n	y	y	n	n	y	y	n	y	n	y	n	y	y	y	n	other	n	n	n	y	y	y	n	y	republican
y	y	y	n	n	n	y	y	y	n	n	n	n	n	other	other	y	y	y	n	y	n	y	n	y	n	n	y	y	n	y	y	y	y	y	y	n	n	y	y	y	n	n	n	n	n	other	other	democrat
y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n	y	n	n	n	n	n	n	n	y	y	y	y	y	n	n	y	y	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n	republican
y	y	y	n	n	y	other	y	n	n	y	y	n	y	n	other	y	y	y	y	y	y	y	y	n	y	y	other	y	n	y	y	y	y	y	n	n	y	y	y	n	n	y	y	n	y	n	other	democrat
n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	n	y	n	y	n	n	y	y	y	y	n	y	n	y	n	y	other	n	other	n	y	y	y	n	n	n	y	y	y	y	y	n	n	republican
n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	y	y	y	n	n	n	y	y	y	y	y	y	n	y	n	n	other	n	y	n	y	y	y	n	n	n	y	y	y	y	y	n	y	republican
n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	y	other	n	y	n	y	n	n	other	n	n	n	n	y	n	y	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	republican
n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	y	n	y	n	n	n	y	y	y	y	y	y	y	y	y	n	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	republican
n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	other	y	y	y	n	y	n	n	y	y	y	n	n	y	n	other	n	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	other	republican
y	y	y	n	n	other	y	y	y	y	n	n	n	n	y	other	y	other	y	n	y	n	y	y	y	n	y	n	n	n	y	other	y	y	y	n	n	other	y	y	y	y	n	n	n	n	y	other	democrat
n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	n	n	y	n	y	n	y	n	n	n	n	y	y	y	y	n	y	n	other	n	y	y	y	n	n	n	n	n	y	y	y	n	n	republican
y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	other	y	other	y	n	n	n	n	n	n	y	n	n	n	y	y	y	y	y	y	n	n	n	y	y	y	n	n	n	n	n	n	other	democrat
y	y	y	n	n	n	y	y	y	n	y	n	n	n	n	y	y	y	n	n	y	y	n	n	other	n	y	y	n	n	n	y	y	y	y	y	n	n	y	y	y	n	y	n	n	n	n	y	democrat
y	y	y	n	n	n	y	y	y	n	y	other	n	n	n	y	n	other	n	n	n	y	y	n	y	y	y	y	n	y	n	y	y	y	y	other	n	n	y	y	y	n	y	other	n	n	n	y	democrat
y	y	n	y	y	y	y	n	n	n	n	y	y	y	n	y	n	y	y	y	y	y	n	y	y	n	y	n	y	n	y	y	y	y	n	y	y	y	y	n	n	n	n	y	y	y	n	y	republican
n	y	n	y	y	y	y	n	n	n	y	y	y	y	n	y	y	y	other	n	n	y	y	n	y	y	n	n	y	n	y	y	n	y	n	y	y	y	y	n	n	n	n	y	y	y	n	y	republican
n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	n	y	y	y	n	n	y	y	y	y	n	y	n	y	y	other	y	n	y	n	y	y	y	n	n	n	y	n	n	y	y	n	other	republican
y	other	y	n	n	n	y	y	y	n	n	n	y	n	y	y	y	y	y	n	y	y	y	y	n	y	n	n	y	y	y	other	y	other	y	n	n	n	y	y	y	n	n	n	y	n	y	y	democrat
y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y	n	y	n	y	n	y	n	n	y	y	n	n	n	y	y	y	y	y	y	n	n	n	y	y	y	n	n	n	n	n	y	y	democrat
y	n	y	n	n	n	y	y	y	n	n	n	y	n	y	other	n	n	y	y	y	other	other	n	y	n	n	y	y	n	y	other	y	n	y	n	n	n	y	y	y	n	n	n	y	n	y	other	democrat
y	y	y	y	n	n	y	y	y	y	y	n	n	y	n	y	y	n	n	n	other	y	n	n	n	n	n	n	y	y	y	y	y	y	y	y	n	n	y	y	y	y	y	n	n	y	n	y	republican
y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	other	n	y	n	y	y	n	y	y	n	n	y	n	other	n	y	y	y	y	y	n	n	n	y	y	y	n	y	n	n	n	y	other	democrat
y	n	y	y	y	n	y	n	y	y	n	n	y	y	n	y	y	y	y	n	n	y	y	y	n	y	n	y	y	y	n	other	y	n	y	y	y	n	y	n	y	y	n	n	y	y	n	y	republican
y	n	y	n	n	y	y	y	y	y	y	n	n	y	y	y	y	other	y	y	n	y	y	y	n	n	n	n	n	y	other	y	y	n	n	n	n	y	y	y	y	y	y	n	n	y	y	y	democrat
n	y	y	y	y	y	n	n	n	y	y	n	y	y	n	n	n	y	y	y	y	y	y	y	n	n	n	y	y	y	other	n	n	other	y	y	y	y	n	n	n	y	y	n	y	y	n	n	democrat
n	y	y	n	y	y	n	n	n	y	y	y	y	y	n	other	y	y	y	n	y	y	y	n	n	y	y	other	n	n	y	n	n	n	y	n	y	y	n	n	n	y	y	y	y	y	n	other	democrat
n	y	y	y	y	y	n	y	y	y	y	y	y	y	n	y	n	n	y	y	y	y	y	y	y	n	n	n	n	y	n	y	n	y	y	y	y	y	n	y	y	y	y	y	y	y	n	y	democrat
y	y	y	n	y	y	n	n	n	y	y	n	y	y	n	y	n	y	n	n	n	y	n	y	y	n	n	n	n	n	n	y	y	y	y	n	y	y	n	n	n	y	y	n	y	y	n	y	democrat
n	n	n	y	y	n	n	n	n	y	n	y	y	y	n	n	y	n	y	n	y	y	y	y	y	y	n	n	n	y	n	y	n	n	n	y	y	n	n	n	n	y	n	y	y	y	n	n	republican
y	n	y	n	n	y	y	y	y	y	n	y	n	y	n	other	n	y	y	y	y	n	n	y	y	y	n	y	n	other	n	n	y	n	y	n	n	y	y	y	y	y	n	y	n	y	n	other	democrat
y	n	y	n	n	n	y	y	other	y	y	y	n	y	n	y	n	n	n	y	n	y	n	other	n	n	other	y	n	n	y	y	y	n	y	n	n	n	y	y	other	y	y	y	n	y	n	y	democrat
n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y	y	n	n	y	n	y	y	n	n	n	n	n	y	n	y	n	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	y	republican
n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	n	y	n	y	y	y	y	n	y	y	n	y	y	n	y	y	n	n	n	y	y	y	n	n	n	n	n	n	y	y	n	n	republican
n	other	n	y	y	y	n	n	n	y	n	y	y	y	n	n	n	other	y	y	y	y	y	y	n	y	y	y	n	y	n	other	n	other	y	n	y	y	n	n	n	y	n	y	y	y	n	n	republican
n	n	y	n	y	y	n	n	n	y	y	y	y	y	n	y	n	y	y	y	y	y	y	n	n	n	n	y	n	y	n	y	n	n	y	n	y	y	n	n	y	y	y	y	y	y	n	y	democrat
n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n	y	n	y	y	n	y	y	y	n	n	n	y	y	y	y	y	n	n	n	y	y	y	n	n	n	y	n	y	y	y	n	n	republican
n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	n	n	y	y	y	n	other	y	n	n	n	other	y	n	n	n	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	republican
n	y	y	n	y	y	y	n	y	y	y	n	y	y	n	y	n	n	y	n	y	y	y	y	n	y	y	n	y	n	n	other	n	y	y	n	y	y	y	n	y	y	y	n	y	y	n	y	democrat
n	n	n	y	y	y	n	n	n	y	n	other	y	y	n	other	y	y	n	y	n	y	y	y	n	n	n	y	y	n	n	n	n	n	n	y	y	y	n	n	n	y	n	other	y	y	n	other	republican
y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	n	n	n	n	y	y	y	y	y	n	n	n	n	y	y	y	y	n	y	n	n	n	y	n	y	y	n	n	n	n	y	y	democrat
y	n	y	n	n	n	y	y	y	y	y	n	n	n	y	y	n	other	y	y	y	y	y	y	y	n	n	n	n	y	y	other	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	democrat
y	y	y	n	n	n	y	y	n	y	y	n	n	other	y	y	y	n	y	n	n	n	n	other	n	n	n	n	y	y	n	other	y	y	y	n	n	n	y	y	n	y	y	n	n	other	y	y	democrat
y	n	y	n	n	n	y	n	y	y	y	n	n	n	y	y	n	n	y	n	y	other	y	other	y	n	y	n	y	n	n	y	y	n	y	n	n	n	y	n	y	y	y	n	n	n	y	y	democrat
y	n	y	n	y	y	n	n	n	n	n	n	n	n	n	y	y	n	y	n	y	y	y	n	n	n	other	n	y	n	y	y	y	n	y	n	y	y	n	n	n	n	n	n	n	n	n	y	democrat
y	n	y	n	y	y	n	other	other	n	y	other	other	other	y	y	y	y	y	n	y	n	y	y	n	y	y	n	y	y	n	y	y	n	y	n	y	y	n	other	other	n	y	other	other	other	y	y	democrat
n	n	other	n	y	y	n	n	n	n	y	y	y	y	n	y	y	y	n	n	y	n	n	y	n	n	n	n	other	n	n	other	n	n	other	n	y	y	n	n	n	n	y	y	y	y	n	y	democrat
y	n	n	n	y	y	y	n	n	y	y	n	n	y	n	y	y	y	n	n	y	y	y	n	y	y	n	n	y	n	n	n	y	n	n	n	y	y	y	n	n	y	y	n	n	y	n	y	democrat
y	y	y	n	n	y	y	y	y	y	n	n	n	n	n	y	y	y	y	y	y	n	y	y	n	n	y	n	n	y	other	y	y	y	y	n	n	y	y	y	y	y	n	n	n	n	n	y	democrat
n	n	n	y	y	y	n	n	n	y	other	y	y	y	n	n	y	n	y	y	y	n	y	y	y	n	y	n	n	n	n	n	n	n	n	y	y	y	n	n	n	y	other	y	y	y	n	n	republican
y	n	n	n	y	y	n	n	n	n	y	y	n	y	n	y	y	other	y	n	n	n	y	y	n	y	y	n	n	y	n	other	y	n	n	n	y	y	n	n	n	n	y	y	n	y	n	y	democrat
y	n	y	n	y	y	y	n	n	n	y	n	n	y	n	y	y	y	y	n	y	n	n	y	n	y	n	y	n	y	n	other	y	n	y	n	y	y	y	n	n	n	y	n	n	y	n	y	democrat
y	n	y	n	y	y	y	n	other	n	y	n	y	y	y	other	y	n	y	n	n	n	n	n	y	y	n	n	n	y	n	y	y	n	y	n	y	y	y	n	other	n	y	n	y	y	y	other	democrat
y	n	n	n	y	y	other	n	other	n	n	n	n	y	other	n	n	n	n	y	other	y	n	n	y	y	n	n	n	y	n	y	y	n	n	n	y	y	other	n	other	n	n	n	n	y	other	n	democrat
other	other	other	other	n	y	y	y	y	y	other	n	y	y	n	other	y	y	n	n	y	y	y	n	n	n	n	y	y	y	y	n	other	other	other	y	n	y	y	y	y	y	y	n	y	y	n	other	democrat
y	y	y	n	n	n	n	y	y	n	y	n	n	n	y	y	n	n	n	y	y	y	other	n	n	n	y	n	y	n	y	y	y	y	y	n	n	y	n	y	y	n	y	n	n	n	y	y	democrat
n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y	y	y	y	y	n	n	y	n	y	y	n	y	y	n	n	y	n	y	n	y	y	y	n	n	n	n	n	y	y	y	n	y	republican
n	other	other	other	other	other	other	other	other	other	other	other	other	y	other	other	n	y	y	n	y	y	y	y	y	n	n	n	n	n	n	y	n	other	other	other	other	other	other	other	other	other	other	other	other	y	other	other	republican
y	other	y	n	n	n	y	y	y	n	n	n	n	n	y	other	y	y	n	y	y	n	n	y	y	n	n	n	n	y	y	y	y	other	y	n	n	n	y	y	y	n	n	n	n	n	y	other	democrat
y	other	y	n	n	n	y	y	y	n	n	n	n	n	y	other	n	n	y	y	n	n	n	other	n	y	n	n	y	y	n	y	y	other	y	y	n	n	y	y	y	n	n	n	n	n	y	other	democrat
n	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	y	n	y	y	n	n	n	n	y	y	n	n	y	y	n	y	y	n	y	n	n	n	y	y	y	y	n	n	n	n	y	y	democrat
n	other	n	y	y	y	n	n	n	y	n	y	y	y	n	y	y	other	y	y	n	n	y	y	y	n	n	y	y	y	n	other	n	y	n	y	y	y	n	n	n	y	n	y	y	y	n	y	republican
n	other	y	n	n	y	y	y	n	y	n	n	n	n	y	other	n	y	y	y	n	y	n	other	y	y	y	n	y	y	y	y	n	other	y	n	n	y	y	y	n	y	n	n	n	n	y	other	democrat
n	other	n	y	y	y	n	n	n	y	n	y	y	y	n	n	n	n	y	y	n	y	y	y	n	n	n	y	y	n	y	y	n	other	n	y	y	y	n	n	n	y	n	y	y	y	n	n	republican
y	other	y	n	n	n	y	y	y	n	n	n	n	n	y	other	y	other	y	n	y	n	n	y	n	n	n	y	y	y	y	n	y	other	y	n	n	n	y	y	y	n	n	n	n	n	y	other	democrat
n	other	y	n	other	other	y	y	y	y	other	other	n	n	y	y	n	n	y	y	y	y	n	y	y	n	y	other	y	n	n	other	n	other	y	n	other	other	y	y	y	y	other	other	n	n	y	y	democrat
y	n	y	n	n	n	y	y	y	n	y	n	n	n	y	y	y	n	y	n	n	y	y	y	n	n	y	y	n	y	y	other	y	n	y	n	n	n	y	y	y	n	y	n	n	n	n	y	democrat
y	y	y	y	y	n	y	n	n	n	n	y	y	y	n	y	y	y	y	other	y	y	y	n	other	n	n	n	n	y	n	y	y	y	y	y	y	n	y	n	n	n	n	y	y	y	n	y	republican
n	y	y	n	n	n	n	y	y	y	y	n	n	n	y	y	n	n	y	other	y	n	y	y	other	n	n	n	n	n	n	y	n	y	y	n	n	n	n	y	y	y	y	n	n	n	y	y	democrat
n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	y	y	n	n	y	y	y	n	n	n	n	n	n	n	n	y	n	n	n	y	y	y	n	n	n	n	n	y	y	y	n	n	republican
n	other	other	y	y	y	n	n	n	y	n	y	y	y	other	y	y	other	n	y	y	y	n	n	n	n	other	n	y	y	y	y	n	other	other	y	y	y	n	n	n	y	n	y	y	y	other	y	republican
n	other	n	y	y	y	n	n	n	y	n	y	y	y	n	y	n	y	n	n	y	y	y	n	y	y	n	n	n	n	n	y	n	other	n	y	y	y	n	n	n	y	n	n	y	y	n	y	republican
n	n	n	y	y	y	n	n	n	y	n	y	n	y	n	y	n	y	y	y	y	y	n	n	y	y	n	n	y	y	n	y	n	n	n	n	y	y	n	n	n	y	n	n	n	y	n	other	republican
y	other	n	y	y	y	n	y	n	n	n	y	y	y	n	y	y	n	y	n	n	y	n	y	n	n	n	y	n	n	n	other	y	other	n	y	y	y	n	y	n	n	n	y	y	y	n	y	republican
n	other	y	n	n	n	y	y	y	n	n	n	n	n	y	y	n	n	y	y	y	y	y	n	y	n	n	y	n	n	n	y	n	other	y	n	n	n	y	y	y	n	n	n	n	n	y	y	democrat
n	other	n	y	y	y	n	n	n	y	n	y	y	y	n	y	y	n	n	n	n	y	y	y	n	y	y	y	y	n	y	other	n	other	n	y	y	y	n	n	n	y	n	y	y	y	n	y	republican
n	other	n	y	y	y	n	n	n	n	n	y	y	y	n	n	y	n	y	y	n	y	n	n	y	n	n	n	n	y	y	y	n	other	n	y	y	y	n	n	n	n	n	y	y	y	n	n	republican
n	other	y	n	n	n	y	y	y	y	y	n	n	y	y	y	n	other	y	n	y	y	y	y	y	n	y	y	n	y	n	other	n	other	y	n	n	n	y	y	y	y	y	n	n	y	y	y	democrat
n	other	y	n	n	y	n	y	n	y	y	n	n	n	y	y	y	y	n	y	n	y	n	y	y	n	y	y	n	y	n	y	n	other	y	n	n	y	n	y	n	y	y	n	y	n	y	y	democrat
