chiffre	pix1	pix2	pix3	pix4	pix5	pix6	pix7	pix8	pix9	pix10	pix11	pix12	pix13	pix14	pix15	pix16	pix17	pix18	pix19	pix20	pix21	pix22	pix23	pix24	pix25	pix26	pix27	pix28	pix29	pix30	pix31	pix32	pix33	pix34	pix35	pix36	pix37	pix38	pix39	pix40	pix41	pix42	pix43	pix44	pix45	pix46	pix47	pix48	pix49	pix50	pix51	pix52	pix53	pix54	pix55	pix56	pix57	pix58	pix59	pix60	pix61	pix62	pix63	pix64
C2	0	5	15	16	6	0	0	0	0	11	16	16	11	0	0	0	0	6	10	11	14	0	0	0	0	0	0	7	15	0	0	0	0	0	0	11	11	0	0	0	0	0	3	16	6	0	0	0	0	0	13	16	15	12	11	0	0	6	16	16	16	13	3	0
C2	0	0	6	14	9	0	0	0	0	3	16	15	16	6	0	0	0	6	14	0	8	10	0	0	0	0	2	0	11	10	0	0	0	0	0	5	16	4	0	0	0	0	2	14	12	1	0	0	0	0	10	16	16	16	16	0	0	0	10	13	12	8	10	1
C2	0	1	12	16	6	0	0	0	0	9	16	14	14	3	0	0	0	12	12	0	16	7	0	0	0	2	0	0	15	6	0	0	0	0	0	4	15	1	0	0	0	0	1	12	14	0	0	0	0	2	15	16	14	9	2	0	0	1	13	16	16	16	16	3
C2	0	4	16	16	12	1	0	0	0	8	14	5	15	6	0	0	0	3	5	0	13	8	0	0	0	0	0	3	15	7	0	0	0	0	1	13	13	0	0	0	0	0	11	15	2	0	0	0	0	6	16	9	4	4	1	0	0	4	15	16	16	16	15	1
C2	0	0	8	14	13	1	0	0	0	3	16	16	16	7	0	0	0	4	16	3	11	8	0	0	0	0	4	0	15	4	0	0	0	0	0	3	15	1	0	0	0	0	7	14	15	5	2	0	0	1	16	16	16	16	15	0	0	0	6	4	6	9	11	0
C2	0	0	13	13	1	0	0	0	0	2	16	16	9	0	0	0	0	9	16	12	12	0	0	0	0	12	10	8	13	0	0	0	0	5	7	10	14	0	0	0	0	0	2	15	12	0	0	0	0	1	15	16	16	14	6	0	0	0	11	16	16	14	6	0
C2	0	0	11	12	0	0	0	0	0	4	16	15	3	0	0	0	0	2	11	9	6	0	0	0	0	0	2	10	5	0	0	0	0	0	0	14	3	0	0	0	0	0	3	16	0	0	0	0	0	0	12	16	12	15	14	0	0	0	10	16	14	10	10	1
C2	0	0	4	14	16	5	0	0	0	4	16	16	16	8	0	0	0	10	15	9	16	4	0	0	0	1	2	13	14	0	0	0	0	0	2	16	6	0	0	0	0	0	7	16	0	5	7	0	0	0	8	16	13	16	6	0	0	0	2	15	16	6	0	0
C2	0	1	13	16	9	0	0	0	0	6	16	14	13	0	0	0	0	5	11	8	15	0	0	0	0	0	0	12	9	0	0	0	0	0	3	16	6	0	0	0	0	1	13	13	1	0	0	0	0	11	16	16	16	16	5	0	0	2	12	14	15	16	5	0
C2	0	0	3	13	7	0	0	0	0	3	15	8	14	0	0	0	0	10	8	1	14	0	0	0	0	8	11	5	13	0	0	0	0	0	0	5	12	0	0	0	0	0	0	8	8	0	0	0	0	0	1	12	10	7	5	2	0	0	2	14	14	12	14	7
C2	0	0	8	13	12	2	0	0	0	0	10	12	13	10	0	0	0	0	1	0	8	12	0	0	0	0	0	0	9	12	0	0	0	0	0	3	16	5	0	0	0	0	1	13	12	2	3	0	0	0	12	16	16	16	9	0	0	0	10	12	9	2	0	0
C2	0	1	10	13	2	0	0	0	0	10	16	16	12	0	0	0	0	9	9	8	16	0	0	0	0	0	0	6	16	2	0	0	0	0	1	11	15	0	0	0	0	0	4	16	13	2	0	0	0	0	14	16	16	16	13	0	0	0	9	13	11	10	9	0
C2	0	4	15	16	12	0	0	0	0	12	15	7	16	5	0	0	0	3	3	0	15	4	0	0	0	0	0	0	13	7	0	0	0	0	0	5	15	2	0	0	0	0	1	14	11	0	0	0	0	1	13	16	9	8	3	0	0	3	16	16	16	16	16	1
C2	0	2	12	8	0	0	0	0	0	11	16	16	0	0	0	0	0	7	8	14	6	0	0	0	0	1	2	12	8	0	0	0	0	0	0	14	4	0	0	0	0	0	2	16	1	0	0	0	0	2	13	16	9	15	11	0	0	2	14	16	13	15	9	0
C2	0	2	11	16	5	0	0	0	0	11	16	16	9	0	0	0	0	2	6	16	9	0	0	0	0	0	8	16	5	0	0	0	0	0	14	11	0	0	0	0	0	6	16	5	0	0	2	0	0	6	16	14	13	15	12	0	0	0	15	16	13	11	3	0
C2	0	0	6	16	8	0	0	0	0	2	16	14	13	0	0	0	0	8	14	5	15	0	0	0	0	9	11	8	12	0	0	0	0	3	6	14	8	0	0	0	0	0	4	16	2	0	0	0	0	0	8	16	12	10	5	0	0	0	8	16	16	16	8	0
C2	0	0	7	16	16	7	0	0	0	3	16	16	16	11	0	0	0	1	6	4	16	7	0	0	0	0	0	9	15	2	0	0	0	0	1	14	8	0	0	0	0	0	7	16	5	4	1	0	0	0	10	16	16	16	5	0	0	0	7	16	16	7	0	0
C2	0	0	0	12	16	10	0	0	0	0	10	15	15	13	0	0	0	0	9	6	16	7	0	0	0	0	0	8	15	3	0	0	0	0	5	16	6	0	0	0	0	8	15	16	3	0	0	0	5	16	16	16	16	6	0	0	1	4	4	9	16	11	0	0
C3	0	0	5	12	14	0	0	0	0	2	14	10	15	0	0	0	0	3	15	11	11	0	0	0	0	2	12	15	11	2	0	0	0	0	0	0	8	15	1	0	0	0	0	0	1	14	4	0	0	0	2	7	4	14	3	0	0	0	3	13	14	10	0	0
C3	0	1	12	16	14	2	0	0	0	7	15	4	13	7	0	0	0	0	2	0	12	7	0	0	0	0	0	6	16	8	0	0	0	0	0	15	13	15	9	0	0	0	0	1	0	8	15	0	0	0	8	4	1	12	10	0	0	1	13	16	16	13	1	0
C3	0	0	15	16	16	11	3	0	0	0	11	7	7	13	13	0	0	0	0	0	5	15	6	0	0	0	2	11	16	7	0	0	0	0	3	16	16	13	1	0	0	0	0	0	8	16	2	0	0	0	14	12	15	11	0	0	0	0	11	9	6	0	0	0
C3	0	0	5	14	9	0	0	0	0	1	16	13	16	0	0	0	0	2	13	10	14	0	0	0	0	0	4	16	16	7	0	0	0	0	2	4	5	16	4	0	0	0	0	0	0	14	7	0	0	0	11	8	8	16	4	0	0	0	8	13	15	10	0	0
C3	0	3	11	16	16	12	0	0	0	5	9	10	16	16	3	0	0	0	0	8	16	7	0	0	0	0	0	12	14	0	0	0	0	0	0	4	16	9	0	0	0	0	0	0	5	16	6	0	0	0	6	8	12	16	7	0	0	1	13	11	8	3	0	0
C3	0	0	7	16	15	7	0	0	0	0	16	10	8	15	0	0	0	0	5	2	9	15	0	0	0	0	5	16	16	8	0	0	0	0	2	5	11	14	3	0	0	0	0	0	0	8	12	0	0	0	10	10	7	13	12	0	0	0	6	12	16	11	4	0
C3	0	2	11	15	16	10	0	0	0	5	12	9	16	15	0	0	0	0	0	11	15	5	0	0	0	0	11	16	3	0	0	0	0	0	8	15	16	8	0	0	0	0	0	2	9	16	5	0	0	0	7	11	15	14	3	0	0	0	15	13	7	0	0	0
C3	0	0	8	16	16	12	0	0	0	4	16	16	16	15	2	0	0	2	11	16	16	11	0	0	0	0	0	15	16	7	0	0	0	0	0	0	11	16	2	0	0	0	7	0	0	15	5	0	0	2	16	7	7	15	7	0	0	0	8	14	12	5	0	0
C3	0	0	9	12	11	0	0	0	0	7	13	4	14	2	0	0	0	2	6	0	14	4	0	0	0	0	0	8	14	0	0	0	0	0	0	10	14	13	1	0	0	0	0	0	1	14	5	0	0	0	8	5	10	14	2	0	0	1	15	16	11	1	0	0
C3	0	0	8	14	16	16	15	1	0	0	6	6	5	12	12	1	0	0	0	2	11	12	3	0	0	0	5	14	9	0	0	0	0	0	9	16	9	0	0	0	0	0	1	11	16	7	0	0	0	0	2	7	16	7	0	0	0	0	9	13	5	0	0	0
C3	0	1	8	14	16	5	0	0	0	5	15	7	11	11	0	0	0	0	1	0	11	9	0	0	0	0	3	11	16	3	0	0	0	0	12	16	16	15	3	0	0	0	2	1	1	12	8	0	0	0	5	9	14	15	3	0	0	0	11	12	8	1	0	0
C3	0	2	11	16	15	4	0	0	0	11	15	8	15	10	0	0	0	3	3	8	16	7	0	0	0	0	4	16	16	9	0	0	0	0	0	4	7	16	4	0	0	0	0	0	0	13	11	0	0	2	15	6	1	14	10	0	0	2	16	16	16	13	3	0
C3	0	1	10	15	11	1	0	0	0	3	8	8	11	12	0	0	0	0	0	5	14	15	1	0	0	0	0	11	15	2	0	0	0	0	0	4	15	2	0	0	0	0	0	0	12	10	0	0	0	0	3	4	10	16	1	0	0	0	13	16	15	10	0	0
C3	0	1	10	16	6	0	0	0	0	4	12	8	12	0	0	0	0	1	0	2	11	0	0	0	0	0	0	9	16	9	0	0	0	0	0	5	8	16	5	0	0	0	0	0	0	8	9	0	0	2	8	8	7	11	9	0	0	1	13	16	16	10	1	0
C3	0	1	13	16	10	3	0	0	0	2	13	8	13	15	0	0	0	0	1	8	11	14	2	0	0	0	0	16	16	7	0	0	0	0	0	0	9	16	1	0	0	0	1	0	0	14	7	0	0	5	12	4	7	16	3	0	0	1	11	14	12	5	0	0
C3	0	0	6	15	16	7	0	0	0	10	16	9	14	11	0	0	0	5	3	1	14	10	0	0	0	0	0	9	16	5	0	0	0	0	0	8	16	16	4	0	0	0	1	0	1	12	8	0	0	3	13	5	4	13	11	0	0	0	8	16	16	12	2	0
C3	0	2	15	16	16	12	2	0	0	0	2	10	16	16	5	0	0	0	0	11	16	5	0	0	0	0	0	11	16	10	0	0	0	0	0	1	10	16	7	0	0	0	0	0	8	16	9	0	0	0	5	11	16	15	2	0	0	3	16	14	10	2	0	0
C3	0	1	12	13	7	0	0	0	0	2	15	13	16	7	0	0	0	0	0	6	16	8	0	0	0	0	7	16	16	3	0	0	0	0	4	12	16	12	0	0	0	0	0	0	4	16	8	0	0	1	8	10	12	16	10	0	0	2	12	14	12	9	1	0
C3	0	0	11	16	12	1	0	0	0	0	16	12	16	12	0	0	0	0	3	2	12	12	0	0	0	0	5	16	16	6	0	0	0	0	4	12	16	15	2	0	0	0	0	0	5	15	7	0	0	1	11	12	12	16	7	0	0	2	12	15	12	5	1	0
C3	0	0	9	13	16	6	0	0	0	2	16	14	16	2	0	0	0	0	2	14	8	0	0	0	0	0	4	16	13	6	0	0	0	0	0	4	12	16	6	0	0	0	0	0	0	13	7	0	0	0	5	7	12	15	1	0	0	0	12	16	11	1	0	0
C3	0	0	9	16	16	3	0	0	0	5	16	10	14	7	0	0	0	1	10	0	14	10	0	0	0	0	2	15	16	9	0	0	0	0	1	8	11	16	6	0	0	0	0	0	3	16	8	0	0	1	16	11	11	16	4	0	0	0	11	16	16	11	0	0
C4	0	0	0	8	11	0	0	0	0	0	1	15	4	0	0	0	0	0	12	9	0	0	3	0	0	2	16	2	0	9	14	0	0	11	13	0	7	15	3	0	0	13	16	12	16	8	0	0	0	6	12	12	14	1	0	0	0	0	0	7	12	0	0	0
C4	0	0	0	4	15	7	0	0	0	0	0	15	15	1	0	0	0	0	8	16	2	0	0	0	0	4	16	7	6	9	0	0	0	10	16	13	16	16	0	0	2	16	16	12	15	11	0	0	4	9	4	3	16	7	0	0	0	0	0	5	16	5	0	0
C4	0	0	0	6	12	0	0	0	0	0	0	11	11	0	0	0	0	0	1	16	3	4	3	0	0	1	11	12	0	14	7	0	0	8	16	10	9	15	2	0	0	10	16	16	16	15	0	0	0	0	0	5	16	3	0	0	0	0	0	5	14	0	0	0
C4	0	0	1	14	11	0	0	0	0	0	12	13	1	0	0	0	0	5	16	3	0	7	15	1	0	6	16	11	12	16	10	0	0	0	11	14	16	11	0	0	0	0	0	7	15	2	0	0	0	0	0	15	12	0	0	0	0	0	1	15	7	0	0	0
C4	0	0	0	7	15	1	0	0	0	0	2	14	11	0	0	0	0	0	8	16	4	1	7	0	0	5	16	9	0	12	15	0	0	11	16	14	12	16	9	0	0	6	12	12	16	16	1	0	0	0	0	5	16	8	0	0	0	0	0	10	12	0	0	0
C4	0	0	0	12	12	0	0	0	0	0	5	16	4	0	0	0	0	1	14	11	0	0	0	0	0	6	16	3	2	0	0	0	0	13	12	8	12	0	0	0	0	15	16	15	16	13	4	0	0	4	9	14	16	7	0	0	0	0	0	11	13	0	0	0
C4	0	0	0	13	14	0	0	0	0	0	8	15	3	5	3	0	0	2	16	8	1	16	10	0	0	11	16	8	10	16	6	0	0	5	16	16	16	16	6	0	0	0	0	9	15	0	0	0	0	0	0	12	10	0	0	0	0	0	0	16	2	0	0	0
C4	0	0	0	0	11	12	0	0	0	0	0	8	16	4	0	0	0	0	2	16	12	1	0	0	0	4	15	16	13	14	11	0	0	13	16	16	16	16	10	0	0	0	0	0	10	16	6	0	0	0	0	0	11	16	2	0	0	0	0	0	14	13	0	0
C4	0	0	0	9	11	0	0	0	0	0	2	15	8	0	0	0	0	0	11	15	1	3	8	0	0	6	16	4	0	14	12	0	0	12	16	4	11	16	5	0	0	9	16	16	16	11	0	0	0	0	6	11	16	7	0	0	0	0	0	10	16	4	0	0
C4	0	0	1	14	8	8	1	0	0	0	10	13	8	16	1	0	0	2	16	4	10	11	0	0	0	7	15	6	14	16	13	0	0	3	16	16	15	9	2	0	0	0	3	11	9	0	0	0	0	0	0	12	4	0	0	0	0	0	0	12	0	0	0	0
C4	0	0	0	1	14	8	0	0	0	0	0	12	14	2	0	0	0	0	7	16	4	0	0	0	0	5	16	11	3	10	5	0	0	11	16	16	16	16	6	0	0	7	12	11	16	13	1	0	0	0	0	5	16	10	0	0	0	0	0	2	16	9	0	0
C4	0	0	0	0	11	12	0	0	0	0	0	2	15	8	0	0	0	0	0	9	15	3	0	0	0	0	5	15	4	15	5	0	0	0	13	10	0	16	4	0	0	10	15	4	10	16	3	0	0	15	16	16	16	15	3	0	0	0	1	0	11	12	0	0
C4	0	0	1	13	8	0	0	0	0	0	7	16	3	0	0	0	0	0	14	9	0	7	7	0	0	3	16	3	2	15	9	0	0	9	16	8	12	15	0	0	0	6	16	16	16	7	0	0	0	0	3	12	15	1	0	0	0	0	0	13	9	0	0	0
C4	0	0	2	13	13	0	0	0	0	0	9	16	6	0	0	0	0	0	14	16	2	0	4	0	0	5	16	10	1	13	15	0	0	7	16	16	16	16	4	0	0	0	8	15	16	8	0	0	0	0	0	14	10	0	0	0	0	0	1	16	11	0	0	0
C4	0	0	0	8	13	0	0	0	0	0	5	16	5	6	2	0	0	0	14	10	2	16	6	0	0	6	16	3	9	15	0	0	0	11	16	16	16	16	6	0	0	4	12	14	16	12	2	0	0	0	0	8	16	4	0	0	0	0	0	11	11	1	0	0
C4	0	0	11	15	0	0	0	0	0	0	9	16	1	0	0	0	0	0	9	16	0	0	0	0	0	0	11	13	0	9	5	0	0	0	13	11	0	11	13	0	0	1	15	10	6	12	16	1	0	4	16	16	16	15	16	4	0	0	7	7	4	0	15	7
C4	0	0	0	8	15	0	0	0	0	0	3	15	3	0	0	0	0	0	12	10	0	1	0	0	0	4	16	4	11	11	0	0	0	11	15	2	14	10	1	0	0	13	16	16	16	13	1	0	0	0	4	12	12	0	0	0	0	0	0	11	9	0	0	0
